"","committee_name","committee_id","candidate_name","candidate_id","party","state","district","region","incumbent_challenge","hold_flip","win_per","lose_per","delta","total","advertise","poll","research","consulting","fundraise","pay","materials","travel","event","mail","radio","television","newspaper","smedia","website","per_advertise","per_poll","per_research","per_consulting","per_fundraise","per_pay","per_materials","per_travel","per_event","per_mail","per_radio","per_television","per_newspaper","per_smedia","per_website"
"1","ROHRABACHER FOR CONGRESS","C00224691","ROHRABACHER, DANA","H8CA42061","REP","CA",48,"west","I","Dem Pickup",53.6,46.4,7.2,2942532.46,153527.69,130800,45937,308107.93,232410.32,252058.87,NA,33296.12,139004.79,84118.57,NA,NA,NA,NA,46.99,0.0521753598599215,0.0444515062375896,0.0156113825843743,0.104708421806161,0.0789830947183502,0.0856605231807706,NA,0.0113154639592319,0.0472398493099376,0.0285871340906125,NA,NA,NA,NA,1.59692376001861e-05
"2","PETE SESSIONS FOR CONGRESS","C00303305","SESSIONS, PETE","H2TX03126","REP","TX",32,"south","C","Dem Pickup",52.3,45.8,6.5,5821717.78,967130.46,NA,12500,879144.31,734852.81,602090.2,833.1,27470.24,220834.19,612391.13,NA,907191.28,NA,257.02,2027.26,0.166124586685135,NA,0.0021471325942564,0.151011152244484,0.126226113626552,0.103421399448188,0.000143102093142,0.00471857981408367,0.0379328229820168,0.105190796452521,NA,0.155828797321055,NA,4.41484815500624e-05,0.000348223681842578
"3","CULBERSON FOR CONGRESS","C00343236","CULBERSON, JOHN","H0TX07055","REP","TX",7,"south","I","Dem Pickup",52.5,47.5,5,3802258.06,62912.05,NA,52200.18,569425.16,98980.5,NA,NA,27534.75,127777.94,8400.45,NA,NA,NA,NA,21309.87,0.0165459705804398,NA,0.0137287315001444,0.149759735140124,0.0260320310820776,NA,NA,0.0072416836431139,0.0336058042309732,0.00220933189369056,NA,NA,NA,NA,0.00560453016700292
"4","ROSKAM FOR CONGRESS COMMITTEE","C00410969","ROSKAM, PETER","H6IL06117","REP","IL",6,"midwest","I","Dem Pickup",53.6,46.4,7.2,7428193.64,337067.95,NA,39288.72,680536.77,556768.8,643074.67,NA,14012.1,49020.32,452751.12,NA,NA,NA,NA,NA,0.045376839422296,NA,0.00528913513891649,0.0916153782442322,0.0749534579984374,0.0865721467648762,NA,0.00188634016277476,0.00659922484196306,0.0609503658550291,NA,NA,NA,NA,NA
"5","FRIENDS OF ERIK PAULSEN","C00439661","PAULSEN, ERIK MR.","H8MN03077","REP","MN",3,"midwest","I","Dem Pickup",55.7,44.3,11.4,6330789.2,NA,157923.5,5000,712483.12,NA,218669.32,NA,93768.87,4115,303652.81,NA,NA,NA,NA,NA,NA,0.024945310136057,0.000789790947390888,0.112542543668963,NA,0.0345406098816242,NA,0.0148115609346146,0.000649997949702701,0.047964448097561,NA,NA,NA,NA,NA
"6","LANCE FOR CONGRESS","C00444224","LANCE, LEONARD","H6NJ12136","REP","NJ",7,"northeast","I","Dem Pickup",51.7,46.7,5,2894435.37,NA,NA,59647,2500,250895.96,282830.56,NA,13433.78,5754.69,40005.43,NA,NA,NA,NA,55172.51,NA,NA,0.0206074734361749,0.000863726316335058,0.0866821773256592,0.0977152790943126,NA,0.00464124372554223,0.00198819087814008,0.01382149707492,NA,NA,NA,NA,0.0190615795301037
"7","COMMITTEE TO ELECT WAYNE E HARMON","C00466805","HARMON, WAYNE E","H8IN07150","REP","IN",7,"midwest","C","Dem Hold",64.9,35.1,29.8,1241.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","RANDY HULTGREN FOR CONGRESS","C00467522","HULTGREN, RANDY","H0IL14080","REP","IL",14,"midwest","I","Dem Pickup",52.5,47.5,5,2406545.43,93395.08,81318.86,10000,802828.22,281483.41,NA,NA,3993.12,46916.32,123650.84,NA,NA,NA,NA,NA,0.0388087749500744,0.0337907022183246,0.00415533398012769,0.333601938277143,0.116965757841521,NA,NA,0.00165927472227275,0.0194952978718544,0.0513810537123332,NA,NA,NA,NA,NA
"9","YODER FOR CONGRESS, INC","C00472365","YODER, KEVIN","H0KS03137","REP","KS",3,"midwest","I","Dem Pickup",53.3,44.2,9.1,5412066.28,458832.42,202478.44,45140.33,964671.72,526492.11,NA,NA,8711.8,238878.35,53305.88,3000,NA,NA,NA,2895.6,0.084779527127299,0.0374124095169064,0.00834068314477479,0.178244624158594,0.097281164487143,NA,NA,0.0016096994288843,0.0441381050492235,0.00984945069815368,0.000554316936414164,NA,NA,NA,0.000535026707026951
"10","DENHAM FOR CONGRESS","C00473272","DENHAM, JEFF","H0CA19173","REP","CA",10,"west","C","Dem Pickup",52.3,47.7,4.6,5081760.23,3320618.47,97500,10000,353386.39,471371.63,NA,NA,8094.09,170435.41,30446.15,182951.25,NA,NA,NA,11809.76,0.653438635376152,0.0191862653071296,0.00196782208278252,0.0695401541996797,0.0927575502711193,NA,NA,0.00159277290420292,0.0335386563486093,0.00599126063057091,0.0360015509822666,NA,NA,NA,0.00232395065203617
"11","ART ROBINSON FOR CONGRESS","C00481341","ROBINSON, ART DR.","H0OR04081","REP","OR",4,"west","C","Dem Hold",56,40.9,15.1,163509.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,71989.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.440273950535445,NA,NA,NA,NA,NA
"12","ROTHFUS FOR CONGRESS","C00497115","ROTHFUS, KEITH MR.","H0PA04220","REP","PA",17,"northeast","I","Dem Pickup",56.3,43.7,12.6,3815019.31,5405,82310,NA,900116.45,303852.64,NA,NA,24362.53,47531.94,33793.01,NA,NA,NA,NA,15140.56,0.00141676871355076,0.0215752512141282,NA,0.235940208124399,0.0796464225498245,NA,NA,0.00638595194948043,0.0124591610520577,0.00885788701289693,NA,NA,NA,NA,0.00396867191741685
"13","VALADAO FOR CONGRESS","C00499392","VALADAO, DAVID","H2CA20094","REP","CA",21,"west","I","Dem Pickup",50.4,49.6,0.8,3604945.58,2911257.39,79198.6,66244.4,472242.15,484823.41,NA,NA,11381.31,157765.31,393464.56,NA,1460920,NA,NA,1593.89,0.807573186722003,0.0219694301182766,0.0183759778143447,0.130998413019039,0.134488412998456,NA,NA,0.00315713781177246,0.0437635760371173,0.109145769684545,NA,0.405254383895582,NA,NA,0.0004421398228153
"14","JOE KAUFMAN FOR CONGRESS","C00501205","KAUFMAN, JOSEPH ""JOE""","H2FL20043","REP","FL",23,"south","C","Dem Hold",58.5,36,22.5,485617.96,400,NA,NA,NA,NA,NA,NA,NA,1834.95,87539.91,NA,NA,NA,NA,NA,0.000823692764575676,NA,NA,NA,NA,NA,NA,NA,0.00377858759589534,0.180264976196515,NA,NA,NA,NA,NA
